Academic Plan,Plan Full Descr,Completion Year (Academic),Honors Thesis,Distinction
U-HIST-AB,History (AB),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB,History (AB),2016,,
U-HIST-AB2,History (AB2),2016,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB2,History (AB2),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB2,History (AB2),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB2,History (AB2),2017,X,
U-HIST-AB,History (AB),2017,,
U-HIST-AB2,History (AB2),2017,X,
U-HIST-AB2,History (AB2),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,X,
U-HIST-AB,History (AB),2017,,
U-HIST-AB2,History (AB2),2017,,
U-HIST-AB2,History (AB2),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,X,
U-HIST-AB2,History (AB2),2017,X,
U-HIST-AB,History (AB),2017,X,
U-HIST-AB2,History (AB2),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB2,History (AB2),2017,X,
U-HIST-AB2,History (AB2),2017,,
U-HIST-AB2,History (AB2),2017,X,
U-HIST-AB,History (AB),2017,,
U-HIST-AB2,History (AB2),2017,,
U-HIST-AB,History (AB),2017,,
U-HIST-AB,History (AB),2017,X,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,X,Highest Distinction
U-HIST-AB,History (AB),2018,,
U-HIST-AB2,History (AB2),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB2,History (AB2),2018,,
U-HIST-AB2,History (AB2),2018,,
U-HIST-AB2,History (AB2),2018,,
U-HIST-AB2,History (AB2),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB2,History (AB2),2018,,
U-HIST-AB,History (AB),2018,X,Distinction
U-HIST-AB,History (AB),2018,X,Distinction
U-HIST-AB,History (AB),2018,X,Distinction
U-HIST-AB,History (AB),2018,,
U-HIST-AB2,History (AB2),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,,
U-HIST-AB,History (AB),2018,,
