gradyr,Academic Plan,Plan Full Descr,job,role,employer,profession,industry,id
2023,U-HIST-AB,History (AB),LGBTQ+ Reporter at PolitiFact,LGBTQ+ Reporter,PolitiFact,Journalist,Media,1
2023,U-HIST-AB2,History (AB2),Legislative Correspondent at US House of Representatives,Legislative Correspondent,US House of Representatives,Legislative Staffer,Government,2
2023,U-HIST-AB,History (AB),,,,,,3
2023,U-HIST-AB2,History (AB2),Music Agent Trainee at United Talent Agency,Music Agent Trainee,United Talent Agency,Talent Agent,Entertainment,4
2023,U-HIST-AB2,History (AB2),,,,,,5
2023,U-HIST-AB,History (AB),Staff Assistant and Tour Coordinator at the U.S. Senate,Staff Assistant and Tour Coordinator,the U.S. Senate,Staff Assistant,Government,6
2023,U-HIST-AB2,History (AB2),https://ousf.duke.edu/profile/rachel-beza-juarez/ ,,,,,7
2023,U-HIST-AB,History (AB),,,,,,8
2023,U-HIST-AB,History (AB),Intern at Musket Corp. and Masters of Management Studies at Fuqua School of Business,Intern,Musket Corp. and Masters of Management Studies at Fuqua School of Business,Intern,Energy,9
2023,U-HIST-AB,History (AB),Corporate Banking Analyst at RBC Capital Markets,Corporate Banking Analyst,RBC Capital Markets,Analyst,Finance,10
2023,U-HIST-AB,History (AB),Product Management Intern at Dell Technologies and Fuqua School of Business,Product Management Intern,Dell Technologies and Fuqua School of Business,Intern,Technology,11
2023,U-HIST-AB2,History (AB2),,,,,,12
2023,U-HIST-AB,History (AB),MPhil Candidate at the University of Cambridge,MPhil Candidate,the University of Cambridge,Graduate Student,Academia,13
2023,U-HIST-AB,History (AB),,,,,,14
2023,U-HIST-AB2,History (AB2),Fulbright Scholar at the Turkish Fulbright Comission,Fulbright Scholar,the Turkish Fulbright Comission,Fulbright Scholar,Academia,15
2023,U-HIST-AB,History (AB),Consultant at City of Durham Office on Youth,Consultant,City of Durham Office on Youth,Consultant,Government,16
2023,U-HIST-AB,History (AB),,,,,,17
2023,U-HIST-AB2,History (AB2),,,,,,18
2023,U-HIST-AB,History (AB),,,,,,19
2023,U-HIST-AB,History (AB),,,,,,20
